Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,ID
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,1987,High,Tier 3,Supermarket Type1,850.8924,FDM40OUT013
9.895,Regular,0.028696932,Canned,117.0492,1987,High,Tier 3,Supermarket Type1,810.9444,FDR13OUT013
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,2007,,Tier 2,Supermarket Type1,3121.2704,FDA43OUT017
12.15,Low Fat,0.028760013,Household,151.4708,2007,,Tier 2,Supermarket Type1,4815.0656,NCP18OUT017
7.905,Low Fat,0.010053105,Snack Foods,249.0408,2009,Medium,Tier 3,Supermarket Type2,6258.52,FDK21OUT018
9.195,Low Fat,0.048157338,Household,106.1622,2002,,Tier 2,Supermarket Type1,2117.244,NCX54OUT045
8.365,Low Fat,0.071958197,Hard Drinks,38.0506,1999,Medium,Tier 1,Supermarket Type1,796.9626,DRK35OUT049
15.1,Low Fat,0.173481304,Snack Foods,194.511,1997,Small,Tier 1,Supermarket Type1,4910.275,FDY21OUT046
,Low Fat,0.061082177,Canned,180.0344,1985,Small,Tier 1,Grocery Store,892.172,FDI26OUT019
10,Low Fat,0,Fruits and Vegetables,246.9144,2009,Medium,Tier 3,Supermarket Type2,3185.1872,FDM20OUT018
7.97,Regular,0.040071131,Meat,87.3514,2002,,Tier 2,Supermarket Type1,1062.6168,FDV27OUT045
,Low Fat,0.012090074,Fruits and Vegetables,38.2848,1985,Medium,Tier 3,Supermarket Type3,484.7024,FDF09OUT027
,Regular,0.15028599,Frozen Foods,51.0692,1985,Small,Tier 1,Grocery Store,147.8076,FDY40OUT019
,Low Fat,0.026015519,Snack Foods,255.8356,1985,Medium,Tier 3,Supermarket Type3,2543.356,FDY45OUT027
17.7,LF,0.195068226,Snack Foods,185.4266,1998,,Tier 3,Grocery Store,184.4266,FDC46OUT010
19.35,Low Fat,0.033082215,Meat,172.5738,2004,Small,Tier 2,Supermarket Type1,4865.6664,FDH19OUT035
13.65,Regular,0.078946455,Dairy,186.024,2002,,Tier 2,Supermarket Type1,1118.544,FDZ03OUT045
17.6,Low Fat,0.041700756,Soft Drinks,164.8526,2002,,Tier 2,Supermarket Type1,2302.3364,DRH37OUT045
8.645,Low Fat,0.143422643,Health and Hygiene,95.841,1997,Small,Tier 1,Supermarket Type1,2027.361,NCI17OUT046
15.6,Regular,0.105296072,Snack Foods,170.1764,1997,Small,Tier 1,Supermarket Type1,3435.528,FDJ58OUT046
15.85,Regular,0.121531501,Baking Goods,59.222,1987,High,Tier 3,Supermarket Type1,599.22,FDL12OUT013
18.25,Low Fat,0,Starchy Foods,164.7526,2002,,Tier 2,Supermarket Type1,4604.6728,FDH35OUT045
7.855,Low Fat,0.011324862,Canned,189.6188,2007,,Tier 2,Supermarket Type1,2285.0256,FDG02OUT017
7.825,low fat,0.186357148,Household,254.3698,1999,Medium,Tier 1,Supermarket Type1,5580.7356,NCZ18OUT049
8.39,Regular,0.024205661,Frozen Foods,114.0176,1997,Small,Tier 1,Supermarket Type1,2290.352,FDC29OUT046
12.85,Low Fat,0.033230816,Snack Foods,172.3422,1999,Medium,Tier 1,Supermarket Type1,1207.0954,FDQ10OUT049
,Low Fat,0.113720344,Baking Goods,89.9804,1985,Small,Tier 1,Grocery Store,643.1628,FDN48OUT019
19,Low Fat,0.112556507,Frozen Foods,104.9622,2007,,Tier 2,Supermarket Type1,1587.933,FDL04OUT017
5.905,Low Fat,0,Canned,222.5456,2002,,Tier 2,Supermarket Type1,5305.0944,FDV25OUT045
7.76,Low Fat,0.059352241,Snack Foods,101.87,1997,Small,Tier 1,Supermarket Type1,1697.79,FDD58OUT046
11.8,reg,0.014087057,Frozen Foods,180.3344,1997,Small,Tier 1,Supermarket Type1,1427.4752,FDN04OUT046
16.75,low fat,0.045230944,Snack Foods,187.9556,2009,Medium,Tier 3,Supermarket Type2,4693.89,FDV45OUT018
,Low Fat,0.293417759,Household,194.6136,1985,Small,Tier 1,Grocery Store,583.2408,NCL18OUT019
,Regular,0.031382044,Baking Goods,171.3764,1985,Medium,Tier 3,Supermarket Type3,3091.9752,FDR12OUT027
15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,2007,,Tier 2,Supermarket Type1,2479.4392,FDG20OUT017
6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,2004,Small,Tier 2,Supermarket Type1,2716.464,FDZ55OUT035
,Regular,0.039057677,Breakfast,155.963,1985,Medium,Tier 3,Supermarket Type3,3285.723,FDQ49OUT027
6.305,Regular,0.123115764,Snack Foods,95.6436,1997,Small,Tier 1,Supermarket Type1,661.8052,FDN33OUT046
20.85,Low Fat,0.039624006,Meat,117.2808,1999,Medium,Tier 1,Supermarket Type1,1523.3504,FDN27OUT049
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,1998,,Tier 3,Grocery Store,369.519,FDW20OUT010
8.895,Low Fat,0.105274111,Dairy,39.9138,1999,Medium,Tier 1,Supermarket Type1,690.4346,DRG27OUT049
19.6,Low Fat,0.033970195,Soft Drinks,55.1614,2002,,Tier 2,Supermarket Type1,1381.535,DRI25OUT045
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,2004,Small,Tier 2,Supermarket Type1,622.523,FDA44OUT035
9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,2004,Small,Tier 2,Supermarket Type1,1274.3412,NCR17OUT035
,Low Fat,0.009714595,Frozen Foods,120.0414,1985,Small,Tier 1,Grocery Store,487.3656,FDU04OUT019
12.15,Low Fat,0.131383762,Frozen Foods,246.046,1999,Medium,Tier 1,Supermarket Type1,1231.73,FDF41OUT049
8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,2004,Small,Tier 2,Supermarket Type1,3755.112,FDB56OUT035
,Low Fat,0.028459761,Household,149.9708,1985,Medium,Tier 3,Supermarket Type3,4363.6532,NCP18OUT027
8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,1997,Small,Tier 1,Supermarket Type1,1314.2892,FDB56OUT046
13.3,Low Fat,0.063695084,Frozen Foods,151.0708,2002,,Tier 2,Supermarket Type1,1805.6496,FDT28OUT045
,Regular,0.045797829,Snack Foods,178.5344,1985,Medium,Tier 3,Supermarket Type3,2854.9504,FDD10OUT027
8.31,Regular,0.115857223,Snack Foods,179.1028,1999,Medium,Tier 1,Supermarket Type1,3896.2616,FDW57OUT049
16.75,Regular,0.024832806,Soft Drinks,38.7822,1987,High,Tier 3,Supermarket Type1,667.7974,DRB48OUT013
19.75,Low Fat,0.034027909,Snack Foods,212.0902,2009,Medium,Tier 3,Supermarket Type2,3185.853,FDP09OUT018
17.1,Regular,0.0467696,Canned,141.1838,1987,High,Tier 3,Supermarket Type1,2247.7408,FDH14OUT013
10.5,Regular,0.116576702,Baking Goods,163.121,1987,High,Tier 3,Supermarket Type1,1794.331,FDA47OUT013
6.635,Regular,0,Baking Goods,121.3098,2002,,Tier 2,Supermarket Type1,2530.7058,FDG12OUT045
,low fat,0.278974075,Soft Drinks,225.372,1985,Small,Tier 1,Grocery Store,679.116,DRE60OUT019
14.15,Low Fat,0.035913805,Soft Drinks,41.4138,1987,High,Tier 3,Supermarket Type1,812.276,DRK49OUT013
13.3,Low Fat,0.079806266,Dairy,232.53,1997,Small,Tier 1,Supermarket Type1,699.09,FDD03OUT046
8.89,low fat,0.005505481,Frozen Foods,102.4016,2007,,Tier 2,Supermarket Type1,2732.4432,FDS52OUT017
,Regular,0.064625342,Meat,176.937,1985,Small,Tier 1,Grocery Store,176.437,FDW39OUT019
,Low Fat,0.071636937,Snack Foods,121.7098,1985,Medium,Tier 3,Supermarket Type3,4097.3332,FDX34OUT027
9.1,Regular,0,Breads,173.2054,2002,,Tier 2,Supermarket Type1,3151.8972,FDV11OUT045
7.5,Low Fat,0.032677678,Frozen Foods,239.0906,1999,Medium,Tier 1,Supermarket Type1,5942.265,FDD17OUT049
16.85,Regular,0.160760054,Frozen Foods,192.4478,2007,,Tier 2,Supermarket Type1,4843.695,FDZ16OUT017
7.485,Low Fat,0.06911065,Snack Foods,109.0228,2004,Small,Tier 2,Supermarket Type1,2542.0244,FDZ46OUT035
11.6,Low Fat,0.041177505,Soft Drinks,140.3154,2007,,Tier 2,Supermarket Type1,2552.6772,DRA12OUT017
11.65,Low Fat,0.040081193,Snack Foods,227.0694,2009,Medium,Tier 3,Supermarket Type2,1141.847,FDY58OUT018
13,Low Fat,0.035307322,Household,47.5034,2007,,Tier 2,Supermarket Type1,680.4476,NCF19OUT017
12.65,LF,0.063017847,Soft Drinks,159.0578,2002,,Tier 2,Supermarket Type1,2085.9514,DRJ13OUT045
20.25,Regular,0.171938781,Canned,92.512,1998,,Tier 3,Grocery Store,186.424,FDB14OUT010
8.6,Regular,0.040197932,Canned,190.153,2004,Small,Tier 2,Supermarket Type1,3036.048,FDJ38OUT035
12.6,Low Fat,0.049058014,Breads,62.7194,2007,,Tier 2,Supermarket Type1,866.8716,FDW11OUT017
17.7,Low Fat,0.01161096,Frozen Foods,95.041,2004,Small,Tier 2,Supermarket Type1,868.869,FDL40OUT035
14.15,Low Fat,0.183507295,Soft Drinks,82.4276,1997,Small,Tier 1,Supermarket Type1,1137.1864,DRI49OUT046
19.25,Low Fat,0.102349519,Dairy,52.7956,2007,,Tier 2,Supermarket Type1,928.1252,FDV38OUT017
8.88,Low Fat,0.086708987,Hard Drinks,151.7682,1987,High,Tier 3,Supermarket Type1,762.341,DRG23OUT013
20.5,Low Fat,0.032835147,Household,40.2822,2002,,Tier 2,Supermarket Type1,707.0796,NCP30OUT045
,Low Fat,0.033809913,Canned,180.5976,1985,Medium,Tier 3,Supermarket Type3,7968.2944,FDY25OUT027
13.5,Low Fat,0.07266912,Household,160.292,1997,Small,Tier 1,Supermarket Type1,1438.128,NCH54OUT046
,Low Fat,0.144338493,Health and Hygiene,224.4404,1985,Medium,Tier 3,Supermarket Type3,6976.2524,NCR53OUT027
8.89,Low Fat,0.009163216,Frozen Foods,101.7016,1998,,Tier 3,Grocery Store,101.2016,FDS52OUT010
7.855,Low Fat,0.011307038,Canned,188.5188,2009,Medium,Tier 3,Supermarket Type2,952.094,FDG02OUT018
7.235,Low Fat,0.076855628,Household,116.0492,1997,Small,Tier 1,Supermarket Type1,1969.4364,NCO26OUT046
,Low Fat,0.059956876,Starchy Foods,165.4526,1985,Medium,Tier 3,Supermarket Type3,5262.4832,FDH35OUT027
6.92,Low Fat,0.038532062,Dairy,60.5852,2002,,Tier 2,Supermarket Type1,1314.2892,FDB51OUT045
9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,2007,,Tier 2,Supermarket Type1,535.3032,FDX44OUT017
18.5,Low Fat,0.056816465,Others,132.1284,1998,,Tier 3,Grocery Store,263.6568,NCN07OUT010
8.02,Low Fat,0.019866705,Household,154.5972,2004,Small,Tier 2,Supermarket Type1,1402.1748,NCC31OUT035
9.195,Low Fat,0.048331717,Household,105.1622,2007,,Tier 2,Supermarket Type1,1693.7952,NCX54OUT017
12.8,Low Fat,0.091221855,Others,105.5938,2002,,Tier 2,Supermarket Type1,2143.876,NCO55OUT045
16.6,Low Fat,0.027622076,Household,177.6344,1999,Medium,Tier 1,Supermarket Type1,2676.516,NCC30OUT049
14,Regular,0,Frozen Foods,53.064,2004,Small,Tier 2,Supermarket Type1,905.488,FDI16OUT035
18.6,Low Fat,0.039355947,Frozen Foods,246.3802,1999,Medium,Tier 1,Supermarket Type1,7370.406,FDP16OUT049
16,Low Fat,0.060836524,Starchy Foods,226.8404,2004,Small,Tier 2,Supermarket Type1,6301.1312,FDB11OUT035
17.6,Low Fat,0.082316506,Health and Hygiene,160.692,2004,Small,Tier 2,Supermarket Type1,1597.92,NCB06OUT035
21.25,Low Fat,0.155350299,Snack Foods,178.237,2004,Small,Tier 2,Supermarket Type1,529.311,FDA45OUT035
7.235,Low Fat,0.076841095,Household,117.5492,2004,Small,Tier 2,Supermarket Type1,1969.4364,NCO26OUT035
14.6,Low Fat,0.151419185,Soft Drinks,50.3692,2007,,Tier 2,Supermarket Type1,1034.6532,DRJ25OUT017
13.85,reg,0.026001976,Frozen Foods,161.521,2009,Medium,Tier 3,Supermarket Type2,1794.331,FDR28OUT018
13.65,Regular,0.073209447,Frozen Foods,197.6426,2009,Medium,Tier 3,Supermarket Type2,2768.3964,FDI04OUT018
,Low Fat,0.041683481,Soft Drinks,31.29,1985,Medium,Tier 3,Supermarket Type3,898.83,DRK12OUT027
7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,1997,Small,Tier 1,Supermarket Type1,3169.208,FDX20OUT046
18.35,Low Fat,0.014081156,Household,223.5746,2009,Medium,Tier 3,Supermarket Type2,3589.9936,NCI18OUT018
5.465,Regular,0,Baking Goods,132.5626,2009,Medium,Tier 3,Supermarket Type2,262.3252,FDB36OUT018
18.6,Low Fat,0.152918384,Breakfast,99.8358,2007,,Tier 2,Supermarket Type1,1910.1802,FDN13OUT017
13.85,Low Fat,0.030969274,Soft Drinks,140.9154,2007,,Tier 2,Supermarket Type1,1701.7848,DRD24OUT017
14,Regular,0.060376776,Frozen Foods,154.5656,1987,High,Tier 3,Supermarket Type1,2471.4496,FDQ28OUT013
14,Regular,0.04192285,Snack Foods,54.764,1987,High,Tier 3,Supermarket Type1,1331.6,FDM22OUT013
,Low Fat,0.077367431,Fruits and Vegetables,97.0094,1985,Medium,Tier 3,Supermarket Type3,1808.9786,FDR07OUT027
5.905,Low Fat,0.045838211,Canned,222.5456,2009,Medium,Tier 3,Supermarket Type2,3315.684,FDV25OUT018
7.27,Low Fat,0.071077939,Soft Drinks,114.2518,1997,Small,Tier 1,Supermarket Type1,2618.5914,DRF49OUT046
6.155,Regular,0.094659871,Meat,214.556,1997,Small,Tier 1,Supermarket Type1,2769.728,FDW51OUT046
19.5,Regular,0.077608838,Soft Drinks,233.4958,2007,,Tier 2,Supermarket Type1,5375.0034,DRL01OUT017
15.2,Low Fat,0.021327477,Canned,216.8824,2007,,Tier 2,Supermarket Type1,2838.9712,FDP25OUT017
12.15,Regular,0.042485444,Canned,125.0046,2009,Medium,Tier 3,Supermarket Type2,1743.0644,FDL50OUT018
,Low Fat,0.025578526,Household,198.8084,1985,Medium,Tier 3,Supermarket Type3,5555.4352,NCB30OUT027
12.6,Low Fat,0.0489808,Breads,61.9194,2009,Medium,Tier 3,Supermarket Type2,619.194,FDW11OUT018
14.5,Low Fat,0.019471688,Others,164.821,2004,Small,Tier 2,Supermarket Type1,2120.573,NCM43OUT035
16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,2007,,Tier 2,Supermarket Type1,3823.0236,FDK44OUT017
11.8,Regular,0.057373797,Meat,151.4366,1987,High,Tier 3,Supermarket Type1,1360.2294,FDM15OUT013
13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,1987,High,Tier 3,Supermarket Type1,3969.4996,FDS31OUT013
17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,1998,,Tier 3,Grocery Store,345.5502,FDI32OUT010
17.85,LF,0,Breads,196.5794,1998,,Tier 3,Grocery Store,585.2382,FDR47OUT010
12.3,Regular,0.064750025,Starchy Foods,92.6804,2002,,Tier 2,Supermarket Type1,1010.6844,FDB35OUT045
11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,1998,,Tier 3,Grocery Store,161.1236,NCU05OUT010
,Regular,0.191013663,Soft Drinks,42.1112,1985,Small,Tier 1,Grocery Store,42.6112,DRY23OUT019
11.1,Low Fat,0.176573035,Baking Goods,157.4604,2002,,Tier 2,Supermarket Type1,3010.7476,FDO24OUT045
,Regular,0.060134441,Frozen Foods,153.0656,1985,Medium,Tier 3,Supermarket Type3,6024.1584,FDQ28OUT027
11.3,Low Fat,0.007294652,Meat,198.1426,2002,,Tier 2,Supermarket Type1,988.713,FDV39OUT045
,Low Fat,0.128478462,Health and Hygiene,117.944,1985,Small,Tier 1,Grocery Store,239.688,NCO17OUT019
5.75,Regular,0.075107656,Dairy,112.8176,1987,High,Tier 3,Supermarket Type1,1374.2112,FDU50OUT013
,Regular,0.049381406,Baking Goods,226.8062,1985,Medium,Tier 3,Supermarket Type3,4739.8302,FDT12OUT027
11.35,Regular,0.045165796,Snack Foods,100.0016,2009,Medium,Tier 3,Supermarket Type2,1012.016,FDK58OUT018
,Regular,0.09415375,Fruits and Vegetables,165.7526,1985,Small,Tier 1,Grocery Store,657.8104,FDO08OUT019
14,Low Fat,0.028907832,Health and Hygiene,130.431,1999,Medium,Tier 1,Supermarket Type1,778.986,NCW29OUT049
19.75,Regular,0.018059621,Frozen Foods,179.766,2002,,Tier 2,Supermarket Type1,2336.958,FDE04OUT045
6.525,Low Fat,0.090436094,Household,85.0882,1999,Medium,Tier 1,Supermarket Type1,2233.0932,NCB19OUT049
10.3,Low Fat,0.146399712,Meat,103.9648,1999,Medium,Tier 1,Supermarket Type1,1661.8368,FDV15OUT049
5.78,Regular,0.074264356,Snack Foods,264.7568,1999,Medium,Tier 1,Supermarket Type1,4745.8224,FDL58OUT049
11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,2002,,Tier 2,Supermarket Type1,3124.5994,FDA08OUT045
16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,2009,Medium,Tier 3,Supermarket Type2,467.3916,FDT43OUT018
,Low Fat,0.01561108,Household,182.5976,1985,Medium,Tier 3,Supermarket Type3,5070.7328,NCX06OUT027
10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,1997,Small,Tier 1,Supermarket Type1,540.6296,FDT20OUT046
19,Regular,0.097313129,Frozen Foods,48.0718,1997,Small,Tier 1,Supermarket Type1,992.7078,FDB41OUT046
14.6,Low Fat,0.059582996,Others,238.8538,1999,Medium,Tier 1,Supermarket Type1,6008.845,NCN55OUT049
,Regular,0.098663652,Dairy,62.9194,1985,Medium,Tier 3,Supermarket Type3,2105.2596,FDE40OUT027
,reg,0.101338651,Canned,232.63,1985,Medium,Tier 3,Supermarket Type3,5359.69,FDX49OUT027
18.75,Low Fat,0.052146456,Health and Hygiene,104.628,2002,,Tier 2,Supermarket Type1,745.696,NCM53OUT045
5.26,Regular,0.041764487,Baking Goods,161.8868,2004,Small,Tier 2,Supermarket Type1,3275.736,FDE36OUT035
18.25,Low Fat,0.054344186,Snack Foods,140.2154,2002,,Tier 2,Supermarket Type1,1701.7848,FDN57OUT045
,Low Fat,0.078362484,Baking Goods,177.937,1985,Medium,Tier 3,Supermarket Type3,6704.606,FDI24OUT027
15.1,Low Fat,0.052339069,Meat,242.7512,1997,Small,Tier 1,Supermarket Type1,4119.9704,FDI19OUT046
15.5,Regular,0.042464962,Baking Goods,81.5934,1998,,Tier 3,Grocery Store,327.5736,FDF24OUT010
13.65,Low Fat,0.065732883,Frozen Foods,45.7402,1999,Medium,Tier 1,Supermarket Type1,780.9834,FDG52OUT049
16.1,LF,0.023625114,Soft Drinks,189.3846,2002,,Tier 2,Supermarket Type1,3630.6074,DRF36OUT045
,Regular,0.051643608,Snack Foods,107.3622,1985,Small,Tier 1,Grocery Store,317.5866,FDS45OUT019
12.85,Low Fat,0.165694219,Frozen Foods,39.7164,1998,,Tier 3,Grocery Store,231.6984,FDX40OUT010
9.5,LF,0.041878397,Soft Drinks,32.99,2004,Small,Tier 2,Supermarket Type1,133.16,DRK12OUT035
13.8,Low Fat,0.058091482,Dairy,245.1802,2004,Small,Tier 2,Supermarket Type1,5650.6446,DRC27OUT035
5.78,Regular,0,Snack Foods,263.7568,2007,,Tier 2,Supermarket Type1,2636.568,FDL58OUT017
19.7,Low Fat,0.026903714,Household,96.0726,2002,,Tier 2,Supermarket Type1,1272.3438,NCD30OUT045
14.65,Low Fat,0,Household,161.5552,1998,,Tier 3,Grocery Store,324.9104,NCZ54OUT010
6.67,Regular,0.150554711,Snack Foods,130.0626,1998,,Tier 3,Grocery Store,131.1626,FDE10OUT010
6.11,Regular,0,Fruits and Vegetables,131.2968,1998,,Tier 3,Grocery Store,260.9936,FDR44OUT010
13.65,Regular,0.134975628,Frozen Foods,260.0936,1998,,Tier 3,Grocery Store,260.9936,FDP28OUT010
17.2,Low Fat,0.15616879,Meat,160.6578,1987,High,Tier 3,Supermarket Type1,3690.5294,FDX15OUT013
6.32,LF,0,Meat,40.2822,2004,Small,Tier 2,Supermarket Type1,1139.1838,FDA39OUT035
4.88,Regular,0.133700752,Baking Goods,52.9298,1999,Medium,Tier 1,Supermarket Type1,1995.4026,FDY24OUT049
5.425,Regular,0.115119905,Baking Goods,88.3514,2007,,Tier 2,Supermarket Type1,1416.8224,FDC60OUT017
15.85,Regular,0.110030997,Frozen Foods,37.2506,1997,Small,Tier 1,Supermarket Type1,265.6542,FDH28OUT046
7.5,Low Fat,0.051038045,Canned,121.7072,2007,,Tier 2,Supermarket Type1,3552.7088,FDT25OUT017
12.65,Low Fat,0.062837968,Soft Drinks,161.5578,1987,High,Tier 3,Supermarket Type1,2406.867,DRJ13OUT013
,Low Fat,0.017116983,Others,211.956,1985,Small,Tier 1,Grocery Store,213.056,NCO07OUT019
20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,1987,High,Tier 3,Supermarket Type1,2956.152,FDW20OUT013
,Low Fat,0.049754975,Dairy,152.134,1985,Small,Tier 1,Grocery Store,153.134,DRF27OUT019
9,Low Fat,0,Canned,79.7644,2004,Small,Tier 2,Supermarket Type1,1649.8524,FDS49OUT035
